"id","title","length_mins","plays","album_id"
1,"Bodysnatchers",4,45091715,3
2,"Go Flex",3,881795742,7
3,"The Patient",7,19922961,11
4,"G.O.A.T.",3,53380499,8
5,"Descending",13,32442391,1
6,"When the Levee Breaks",7,110775995,4
7,"Rain",4,825432,9
8,"Cygnus...Vismund Cygnus",13,3648317,5
9,"Doomsday",4,3580868,10
10,"Strobe",11,41931656,6
11,"Avaritia",7,12662969,12
12,"One Thing Left to Try",4,11682777,2
